A	B	C	D	E	F
0.319	6665.67	0.176	0.495	0.936	D
0.225	994.25	0.915	1.14	0.972	B
0.618	3699.67	0.539	1.157	1.398	D
0.544	3273.98	0.48	1.024	1.886	C
0.179	4903.15	0.129	0.308	1.764	D
0.37	408.56	0.288	0.658	1.486	D
0.598	5759.81	0.013	0.611	1.762	A
0.028	4615.4	0.826	0.854	1.176	C
0	2253.82	0.699	0.699	0.072	C
0.988	7689.69	0.159	1.147	0.58	B
0.009	6411.93	0.296	0.305	0.33	B
0.056	6894.26	0.129	0.185	1.48	C
0.59	3684.91	0.19	0.78	0.534	A
0.243	4741.92	0.947	1.19	1.03	B
0.362	884.89	0.915	1.277	1.346	D
0.699	6805.34	0.474	1.173	1.166	D
0.663	1396.66	0.933	1.596	0.362	D
0.011	5368.44	0.174	0.185	1.006	A
0.738	8907.15	0.158	0.896	0.288	D
0.031	7942.02	0.275	0.306	0.862	A
0.686	338.07	0.277	0.963	0.756	C
0.903	2988.43	0.012	0.915	1.834	B
0.189	9666.94	0.378	0.567	1.268	C
0.457	697.76	0.561	1.018	0.838	C
0.84	5776.41	0.445	1.285	1.734	A
0.013	387.42	0.724	0.737	0.59	C
0.868	4962.93	0.77	1.638	0.792	A
0.337	2401.15	0.183	0.52	0.14	D
0.545	7960.08	0.38	0.925	1.594	A
0.39	3647.32	0.924	1.314	1.782	B
0.211	4538.94	0.077	0.288	0.828	C
0.951	6727.24	0.366	1.317	1.398	A
0.449	2176.12	0.662	1.111	0.536	B
0.561	4711.9	0.156	0.717	1.926	D
0.679	2361.51	0.574	1.253	1.594	A
0.982	5723.77	0.462	1.444	1.694	D
0.53	2591.91	0.047	0.577	1.334	A
0.013	7964.39	0.437	0.45	0.822	D
0.315	3335.95	0.735	1.05	1.87	C
0.088	889.44	0.883	0.971	0.292	D
0.7	6352.86	0.831	1.531	0.706	D
0.954	3792.98	0.27	1.224	1.952	A
0.323	2923.27	0.838	1.161	0.896	A
0.151	2312.25	0.724	0.875	1.068	A
0.114	6046.1	0.352	0.466	0.002	B
0.679	6459.95	0.65	1.329	0.156	A
0.842	7924.08	0.961	1.803	1.902	D
0.658	7567.33	0.769	1.427	0.948	D
0.387	5234.62	0.394	0.781	1.944	A
0.653	7595.9	0.728	1.381	1.234	B
0.306	443.39	0.655	0.961	0.93	C
0.158	484.27	0.594	0.752	0.576	C
0.784	1673.95	0.608	1.392	0.476	B
0.434	7056.81	0.66	1.094	1.394	D
0.076	6356.17	0.161	0.237	0.998	D
0.934	2440.97	0.859	1.793	1.016	B
0.943	573.45	0.937	1.88	0.35	B
0.18	1596.43	0.266	0.446	0.486	A
0.78	5029.74	0.03	0.81	0.736	A
