index,Movie Name,Year,Actors,Directors,Writer,Rating
0,Adams Apples,15/04/05,"Ulrich Thomsen, Mads Mikkelsen, Nicolas Bro",Anders Thomas Jensen,Anders Thomas Jensen,7.7
1,Knockin on Heavens Door,20/02/97,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke",Thomas Jahn,"Thomas Jahn, Til Schweiger",7.9
2,Mr. Nobody,26/09/13,"Jared Leto, Sarah Polley, Diane Kruger",Jaco Van Dormael,Jaco Van Dormael,7.8
3,Nostalghia,01/03/92,"Oleg Yankovskiy, Erland Josephson, Domiziana Giordano",Andrei Tarkovsky,"Andrei Tarkovsky, Tonino Guerra",8
4,The Man from Nowhere,05/08/10,"Won Bin, Kim Sae-ron, Kim Tae-hoon",Jeong-beom Lee,Jeong-beom Lee,7.7
5,Udaan,16/07/10,"Rajat Barmecha, Ronit Roy, Manjot Singh",Vikramaditya Motwane,"Vikramaditya Motwane, Anurag Kashyap, Devanshu Singh",8.1
6,Elite Squad,12/10/07,"Wagner Moura, André Ramiro, Caio Junqueira",José Padilha,"André Batista, Bráulio Mantovani, José Padilha",8
7,All About Eve,27/10/50,"Bette Davis, Anne Baxter, George Sanders",Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Mary Orr",8.3
8,Dev.D,06/02/09,"Abhay Deol, Mahie Gill, Kalki Koechlin",Anurag Kashyap,"Saratchandra Chatterjee, Abhay Deol, Vikramaditya Motwane",8
9,Dial M for Murder,29/05/54,"Ray Milland, Grace Kelly, Robert Cummings",Alfred Hitchcock,Frederick Knott,8.2
10,Memories of Murder,02/05/03,"Kang-ho Song, Kim Sang-kyung, Roe-ha Kim",Bong Joon Ho,"Bong Joon Ho, Kwang-rim Kim, Sung-bo Shim",8.1
11,Evil,26/09/03,"Andreas Wilson, Henrik Lundström, Gustaf Skarsgård",Mikael Håfström,"Jan Guillou, Hans Gunnarsson, Mikael Håfström",7.8
12,City Lights,07/03/31,"Charles Chaplin, Virginia Cherrill, Florence Lee",Charles Chaplin,"Charles Chaplin, Harry Carr, Harry Crocker",8.5
13,The Passion of Joan of Arc,25/10/28,"Maria Falconetti, Eugene Silvain, André Berley",Carl Theodor Dreyer,"Joseph Delteil, Carl Theodor Dreyer",8.1
14,The Boondock Saints,21/01/00,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus",Troy Duffy,Troy Duffy,7.7
15,Belle de Jour,10/04/68,"Catherine Deneuve, Jean Sorel, Michel Piccoli",Luis Buñuel,"Joseph Kessel, Luis Buñuel, Jean-Claude Carrière",7.7
16,The Umbrellas of Cherbourg,16/12/64,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon",Jacques Demy,Jacques Demy,7.8
17,M,31/08/31,"Peter Lorre, Ellen Widmann, Inge Landgut",Fritz Lang,"Thea von Harbou, Fritz Lang, Egon Jacobsohn",8.3
18,Le Samouraï,25/10/67,"Alain Delon, François Périer, Nathalie Delon",Jean-Pierre Melville,"Joan McLeod, Jean-Pierre Melville, Georges Pellegrin",8
19,Paan Singh Tomar,02/03/12,"Irrfan Khan, Mahie Gill, Rajesh Abhay",Tigmanshu Dhulia,"Sanjay Chauhan, Tigmanshu Dhulia",8.2
20,8½,24/06/63,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale",Federico Fellini,"Federico Fellini, Ennio Flaiano, Tullio Pinelli",8
21,Battleship Potemkin,24/12/25,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov",Sergei Eisenstein,"Nina Agadzhanova, Sergei Eisenstein, Grigoriy Aleksandrov",8
22,Les yeux sans visage,24/10/62,"Pierre Brasseur, Alida Valli, Juliette Mayniel",Georges Franju,"Jean Redon, Pierre Boileau, Thomas Narcejac",7.6
